video_id,title,published_at,channel,view_count,like_count,comment_count
x5EkgQSqB5w,Makan Bergizi Gratis Hari ke-1 #mbgday1 #makanbergizigratis #spenfourma #makanbergizi,2025-10-13T12:19:08Z,SMP NEGERI 4 MAJENANG,1694,64,1
3sAm6nVcKes,Hari kelima MBG makan Bergizi Gratis pak Prabowo,2025-09-26T22:13:37Z,Mr.SARIFIN,1312529,7264,162
d2sVZonCJMg,"Sepekan, Kasus Keracunan Makan Bergizi Gratis Terus Bermunculan",2025-09-22T07:00:38Z,CNN Indonesia,19922,94,147
r4FMFDrenOk,"[FULL] Badan Gizi Nasional Evaluasi Program Makan Bergizi Gratis 2025, 4700 Porsi Bermasalah",2025-09-22T13:32:38Z,KOMPASTV JAWA TIMUR,3107,7,37
2E2hT4pst0E,Pontang-Panting Pemerintah Menyelamatkan Program Makan Bergizi Gratis,2025-10-16T11:57:38Z,Bisniscom,3404,24,0
Rvl1DBEDUcc,Kepala BGN Bongkar Data 6.457 Kasus Keracunan Program Makan Bergizi Gratis MBG: &quot;SOP Tidak Dipatuhi&quot;,2025-10-01T22:15:01Z,KOMPASTV JAWA TIMUR,11358,42,199
OmIqy2jYc9g,Antusias Anak-Anak Sekolah Sambut Mobil Makan Bergizi Gratis (MBG),2025-10-13T07:54:53Z,Pusat Konten Negara,7620,65,3
_ubD5vY7gLY,MAKAN BERGIZI GRATIS,2025-10-18T00:18:30Z,SPPG_PADILHIDAYAH.BDG.,545,4,0
xefYpQRqxUU,Makan Bergizi Gratis yang Problematis | Jelasin Dong!,2025-09-20T07:00:06Z,Tempodotco,324213,3896,609
PPE9HdYETqE,menikmati makanan bergizi gratis punya teman yang tidak mau makan #makanbergizigratis #sekolah,2025-10-14T07:32:11Z,Amy sopuk,106405,758,5
N-JaW9nkmx0,Penerima Makan Bergizi Gratis Akan Diperbanyak | KONTAN News,2025-05-05T01:11:17Z,KONTAN TV,2007,11,9
pTNqyqukByI,"MAKAN BERGIZI GRATIS SENTUH 20 JUTA PENERIMA MANFAAT, CIPTAKAN 290 RIBU LAPANGAN KERJA",2025-08-16T13:52:06Z,Kantor Staf Presiden,7125,76,7
S5BZtivD098,ini yg rikwes menu MBG makan Bergizi Gratis,2025-09-29T22:39:41Z,Mr.SARIFIN,110002,1021,55
upFCnsut7tg,Rangking Momen Makan Bergizi Gratis (MBG) 😂,2025-10-13T10:30:38Z,Tungtungzxz,35777,650,6
L0s0aSL1eKQ,Serba-Serbi Persiapan Makan Bergizi Gratis [Metro Siang],2025-01-05T05:36:59Z,METRO TV ,26267,232,223
iuimTYJm-lY,Makan Bergizi gratis #mbg #paud,2025-10-11T02:53:16Z,Istini asrinirwana,1809,14,0
Ae4G_D5RBs4,MAKAN BERGIZI GRATIS,2025-10-18T00:17:59Z,SPPG_PADILHIDAYAH.BDG.,382,6,0
PWmORCkG7oY,Bisakah Makan Bergizi Gratis Mengatasi Stunting,2025-10-17T12:00:54Z,Tempodotco,757,18,8
SpHYlz6Zw0k,"[FULL] Program Makan Bergizi Gratis, Dipuji dan Diuji | tvOne",2025-09-26T14:48:32Z,tvOneNews ,9152,108,54
7qBVieg6eCQ,"Makan Bergizi Gratis, Tapi Momennya Kocak Semua #shorts",2025-09-24T08:17:01Z,Gudang Waifu,17577,1282,81
6AsbrdCYOJA,PEMBAGIAN MAKAN BERGIZI GRATIS #shorts #pembagian #makanbergizigratis #enak #viralvideo #trending,2025-10-03T03:44:46Z,Kholifatul Asma,28457,144,4
XFGBq4XCE3I,Prabowo Sidak Dapur Makan Bergizi Gratis,2025-02-03T12:00:42Z,CNN Indonesia,66010,191,144
6tgtC6qHS1g,Pemerintah Akan Rekrut Masyarakat Miskin Jadi Pekerja Makan Bergizi Gratis | Kontan News,2025-07-26T12:30:15Z,KONTAN TV,1313,19,4
Wu9TbvZ39aI,menikmati makanan bergizi gratis #sekolah #makanbergizigratis #siswa #siswasmp,2025-10-16T07:21:06Z,Amy sopuk,24705,100,0
gBjxLIytCCY,"BGN Menangis, Minta Maaf soal Kasus Keracunan Makan Bergizi Gratis-Janji Evaluasi | KOMPAS PETANG",2025-09-28T12:34:40Z,KOMPASTV,77856,213,136
YapJrjVDYpY,"Kaget, Luhut dan Ahli Kemiskinan Ungkap Dampak Makan Bergizi Gratis",2025-03-20T07:36:34Z,Kompas.com,39314,294,706
yLoQ4wpo3DE,Makan Bergizi Gratis // Hari ke-6 #makanbergizigratis #sekolah,2025-10-17T13:23:14Z,SMP NEGERI 4 MAJENANG,3275,25,1
xcLxYRSUSB8,Prabowo Ungkap Kisah di Balik Makan Bergizi Gratis di Depan Forbes #bgn #shorts #fyp,2025-10-18T08:01:13Z,RMOL TV,226,0,0
