video_id,comment_id,title,published_at,channel,view_count,like_count,comment_count
-LWhGAqK2sI,,"[FULL] Agar Makan Bergizi Gratis Tak Jadi Makan Beracun Gratis, Ini Evaluasi DPR hingga Pengamat",2025-10-01T15:25:17Z,KOMPASTV,11535,49,44
e0e1q4Xa4EU,,"Begadang Siapkan Makan Bergizi Gratis untuk Siswa Sekolah, Begini Cerita Ibu-ibu di Jakarta Timur",2025-01-06T05:03:31Z,Tribun Jambi,105353,259,102
Nkkv7yXsQ-o,,MAKAN BERGIZI GRATIS HARI PERTAMA #MBG #mbg #makan #makanbergizigratis,2025-09-15T13:09:54Z,MI RA AL HUDA KARANGSARI,19806,122,13
r4FMFDrenOk,,"[FULL] Badan Gizi Nasional Evaluasi Program Makan Bergizi Gratis 2025, 4700 Porsi Bermasalah",2025-09-22T13:32:38Z,KOMPASTV JAWA TIMUR,3108,7,37
OmIqy2jYc9g,,Antusias Anak-Anak Sekolah Sambut Mobil Makan Bergizi Gratis (MBG),2025-10-13T07:54:53Z,Pusat Konten Negara,7921,68,3
GX4-ZSp155o,,Ini Dia Menu Spesial Makan Bergizi Gratis Se-Indonesia di Hari Ultah Presiden Prabowo | Liputan 6,2025-10-17T23:29:17Z,Liputan6,4125,37,26
3sAm6nVcKes,,Hari kelima MBG makan Bergizi Gratis pak Prabowo,2025-09-26T22:13:37Z,Mr.SARIFIN,1370528,7605,170
Rvl1DBEDUcc,,Kepala BGN Bongkar Data 6.457 Kasus Keracunan Program Makan Bergizi Gratis MBG: &quot;SOP Tidak Dipatuhi&quot;,2025-10-01T22:15:01Z,KOMPASTV JAWA TIMUR,11365,42,199
d2sVZonCJMg,,"Sepekan, Kasus Keracunan Makan Bergizi Gratis Terus Bermunculan",2025-09-22T07:00:38Z,CNN Indonesia,20092,95,147
xefYpQRqxUU,,Makan Bergizi Gratis yang Problematis | Jelasin Dong!,2025-09-20T07:00:06Z,Tempodotco,324441,3896,609
_aDswCc_TcQ,,Mensesneg Terima Draf Perpres Makan Bergizi Gratis,2025-10-15T06:51:25Z,METRO TV JATENG & DIY,2066,5,4
N-JaW9nkmx0,,Penerima Makan Bergizi Gratis Akan Diperbanyak | KONTAN News,2025-05-05T01:11:17Z,KONTAN TV,2010,11,9
wsZju-LXECw,,LIVE - Karut Marut Dapur Makan Bergizi Gratis I BUSINESS TALK,2025-04-22T16:08:20Z,KOMPASTV,21068,130,131
pTNqyqukByI,,"MAKAN BERGIZI GRATIS SENTUH 20 JUTA PENERIMA MANFAAT, CIPTAKAN 290 RIBU LAPANGAN KERJA",2025-08-16T13:52:06Z,Kantor Staf Presiden,7191,76,7
S5BZtivD098,,ini yg rikwes menu MBG makan Bergizi Gratis,2025-09-29T22:39:41Z,Mr.SARIFIN,116430,1060,60
L0s0aSL1eKQ,,Serba-Serbi Persiapan Makan Bergizi Gratis [Metro Siang],2025-01-05T05:36:59Z,METRO TV ,26273,232,223
3hX7I6ONE7g,,aneka menu makanan bergizi gratis seminggu berjalan #sekolah #makanbergizigratis #siswa,2025-10-18T21:40:37Z,Amy sopuk,2874,6,0
iuimTYJm-lY,,Makan Bergizi gratis #mbg #paud,2025-10-11T02:53:16Z,Istini asrinirwana,1826,14,0
SpHYlz6Zw0k,,"[FULL] Program Makan Bergizi Gratis, Dipuji dan Diuji | tvOne",2025-09-26T14:48:32Z,tvOneNews ,9166,108,54
uGtpLetE_YY,,KPK Sebut Dana Makan Bergizi Gratis Dicurangi! - [Top News],2025-03-07T15:02:05Z,METRO TV ,20060,221,389
gFML7rzeM-U,,gaya unik siswa menikmati makanan bergizi gratis #sekolah #makanbergizigratis ##siswa,2025-10-13T01:21:18Z,Amy sopuk,10320,67,3
7qBVieg6eCQ,,"Makan Bergizi Gratis, Tapi Momennya Kocak Semua #shorts",2025-09-24T08:17:01Z,Gudang Waifu,17629,1284,81
XFGBq4XCE3I,,Prabowo Sidak Dapur Makan Bergizi Gratis,2025-02-03T12:00:42Z,CNN Indonesia,66082,191,144
2xfgyhBZgNM,,Prabowo: Program Makan Bergizi Gratis Tetap Berhasil 🇮🇩 #Prabowo #MakanBergizi #BeritaViral #short,2025-10-19T05:19:44Z,Fathur Talks,1047,2,0
gBjxLIytCCY,,"BGN Menangis, Minta Maaf soal Kasus Keracunan Makan Bergizi Gratis-Janji Evaluasi | KOMPAS PETANG",2025-09-28T12:34:40Z,KOMPASTV,77871,213,136
F6rFNTTKJCw,,LIVE - Layakkah Program Makan Bergizi Gratis Dilanjutkan Setelah Muncul Kasus Keracunan? | SATU MEJA,2025-10-01T14:39:09Z,KOMPASTV,6351,46,3
6AsbrdCYOJA,,PEMBAGIAN MAKAN BERGIZI GRATIS #shorts #pembagian #makanbergizigratis #enak #viralvideo #trending,2025-10-03T03:44:46Z,Kholifatul Asma,28573,144,4
YapJrjVDYpY,,"Kaget, Luhut dan Ahli Kemiskinan Ungkap Dampak Makan Bergizi Gratis",2025-03-20T07:36:34Z,Kompas.com,39314,294,706
XGwxd5wILrA,,PROGRAM MAKAN BERGIZI GRATIS PEMERINTAH,2025-08-09T02:26:57Z,MI TA'MIRUL ISLAM SURAKARTA,2678,41,2
